Day,Time,Arena,Sex,Treatment,Soc_index,ExperimentalBlock,Strain_ID
3,4,14,Female,RNAi,6,A,50893
3,2,14,Female,RNAi,3.142857143,A,50893
3,5,14,Female,RNAi,4.285714286,A,50893
3,3,14,Female,RNAi,2,A,50893
3,1,14,Female,RNAi,1.714285714,A,50893
3,5,15,Male,RNAi,1.448979592,A,50893
3,3,15,Male,RNAi,1.448979592,A,50893
3,1,15,Male,RNAi,0.795918367,A,50893
3,4,15,Male,RNAi,2.102040816,A,50893
3,2,15,Male,RNAi,0.795918367,A,50893
3,4,16,Male,Control,3.142857143,A,50893
3,2,16,Male,Control,4.285714286,A,50893
3,5,16,Male,Control,2.571428571,A,50893
3,3,16,Male,Control,3.142857143,A,50893
3,1,16,Male,Control,1.428571429,A,50893
3,2,17,Male,Control,2,A,50893
3,3,17,Male,Control,2.571428571,A,50893
3,1,17,Male,Control,1.142857143,A,50893
3,4,17,Male,Control,1.142857143,A,50893
3,5,17,Male,Control,0.571428571,A,50893
3,2,18,Male,RNAi,2,A,50893
3,3,18,Male,RNAi,1.142857143,A,50893
3,1,18,Male,RNAi,0.857142857,A,50893
3,4,18,Male,RNAi,1.142857143,A,50893
3,5,18,Male,RNAi,1.428571429,A,50893
3,2,19,Female,RNAi,3.142857143,A,50893
3,3,19,Female,RNAi,2,A,50893
3,1,19,Female,RNAi,2.285714286,A,50893
3,4,19,Female,RNAi,2.857142857,A,50893
3,5,19,Female,RNAi,2,A,50893
3,2,20,Female,Control,6,A,50893
3,3,20,Female,Control,6,A,50893
3,4,20,Female,Control,3.142857143,A,50893
3,1,20,Female,Control,4.571428571,A,50893
3,5,20,Female,Control,8,A,50893
3,2,21,Male,RNAi,2.285714286,A,50893
3,1,21,Male,RNAi,1.714285714,A,50893
3,4,21,Male,RNAi,0.857142857,A,50893
3,3,21,Male,RNAi,1.142857143,A,50893
3,5,21,Male,RNAi,2,A,50893
3,3,22,Female,Control,4.285714286,A,50893
3,2,22,Female,Control,2,A,50893
3,4,22,Female,Control,3.142857143,A,50893
3,1,22,Female,Control,8,A,50893
3,5,22,Female,Control,4.285714286,A,50893
3,1,23,Male,Control,1.714285714,A,50893
3,2,23,Male,Control,0.571428571,A,50893
3,3,23,Male,Control,2,A,50893
3,4,23,Male,Control,6,A,50893
3,5,23,Male,Control,8,A,50893
3,1,24,Female,RNAi,2.857142857,A,50893
3,5,24,Female,RNAi,2,A,50893
3,2,24,Female,RNAi,1.428571429,A,50893
3,4,24,Female,RNAi,1.428571429,A,50893
3,3,24,Female,RNAi,1.142857143,A,50893
3,1,25,Male,RNAi,3.142857143,A,50893
3,3,25,Male,RNAi,2.857142857,A,50893
3,2,25,Male,RNAi,1.428571429,A,50893
3,5,25,Male,RNAi,2,A,50893
3,4,25,Male,RNAi,2,A,50893
3,1,26,Female,Control,8,A,50893
3,5,26,Female,Control,6,A,50893
3,2,26,Female,Control,6,A,50893
3,3,26,Female,Control,8,A,50893
3,4,26,Female,Control,8,A,50893
3,1,27,Female,RNAi,2.571428571,A,50893
3,2,27,Female,RNAi,6,A,50893
3,5,27,Female,RNAi,2.285714286,A,50893
3,3,27,Female,RNAi,6,A,50893
3,4,27,Female,RNAi,3.142857143,A,50893
3,1,28,Male,Control,3.142857143,A,50893
3,2,28,Male,Control,3.428571429,A,50893
3,5,28,Male,Control,2,A,50893
3,3,28,Male,Control,3.428571429,A,50893
3,4,28,Male,Control,2,A,50893
3,1,29,Male,Control,0.285714286,A,50893
3,2,29,Male,Control,2,A,50893
3,5,29,Male,Control,1.142857143,A,50893
3,3,29,Male,Control,2.285714286,A,50893
3,4,29,Male,Control,0.857142857,A,50893
3,5,30,Female,Control,1.428571429,A,50893
3,3,30,Female,Control,0.857142857,A,50893
3,1,30,Female,Control,1.142857143,A,50893
3,4,30,Female,Control,1.142857143,A,50893
3,2,30,Female,Control,1.142857143,A,50893
3,4,31,Female,RNAi,3.428571429,A,50893
3,2,31,Female,RNAi,2,A,50893
3,5,31,Female,RNAi,3.142857143,A,50893
3,3,31,Female,RNAi,2,A,50893
3,1,31,Female,RNAi,1.428571429,A,50893
3,5,32,Male,RNAi,3.142857143,A,50893
3,3,32,Male,RNAi,1.428571429,A,50893
3,1,32,Male,RNAi,2.571428571,A,50893
3,4,32,Male,RNAi,2.285714286,A,50893
3,2,32,Male,RNAi,2.857142857,A,50893
3,5,33,Female,Control,1.428571429,A,50893
3,1,33,Female,Control,2.571428571,A,50893
3,4,33,Female,Control,2.571428571,A,50893
3,2,33,Female,Control,3.142857143,A,50893
3,3,33,Female,Control,4.571428571,A,50893
3,5,34,Male,Control,1.142857143,A,50893
3,4,34,Male,Control,2.857142857,A,50893
3,1,34,Male,Control,1.714285714,A,50893
3,2,34,Male,Control,2,A,50893
3,3,34,Male,Control,1.142857143,A,50893
3,5,35,Female,RNAi,1.714285714,A,50893
3,3,35,Female,RNAi,2,A,50893
3,4,35,Female,RNAi,1.142857143,A,50893
3,1,35,Female,RNAi,0.857142857,A,50893
3,2,35,Female,RNAi,1.142857143,A,50893
3,3,37,Male,Control,4.571428571,A,50893
3,5,37,Male,Control,1.714285714,A,50893
3,2,37,Male,Control,4.571428571,A,50893
3,1,37,Male,Control,1.714285714,A,50893
3,4,37,Male,Control,6,A,50893
3,5,38,Male,RNAi,2.102040816,A,50893
3,2,38,Male,RNAi,1.448979592,A,50893
3,3,38,Male,RNAi,1.448979592,A,50893
3,4,38,Male,RNAi,3.081632653,A,50893
3,1,38,Male,RNAi,1.448979592,A,50893
3,5,39,Female,RNAi,3.408163265,A,50893
3,4,39,Female,RNAi,5.040816327,A,50893
3,3,39,Female,RNAi,5.040816327,A,50893
3,2,39,Female,RNAi,3.408163265,A,50893
3,1,39,Female,RNAi,1.448979592,A,50893
3,4,40,Female,Control,6,A,50893
3,5,40,Female,Control,6,A,50893
3,3,40,Female,Control,8,A,50893
3,1,40,Female,Control,8,A,50893
